,product_name,price,product_weight,nutritional_elements
24,Brownes Dairy Greek Yoghurt - Plain,$8.35,1kg,"{""Attributes"": ""Per Serving (170g)"", ""Energy"": ""199kcal"", ""Cabohydrate"": ""9.2g"", ""Protein"": ""10.9g"", ""Total Fat"": ""15.3g"", ""Saturated Fat"": ""10.2g"", ""Sugars"": ""4.3g"", ""Sodium"": ""68mg"", ""Calcium"": ""204mg""}"
25,Chobani Greek Yogurt - Plain,$16.35,907g,"{""Attributes"": ""Per Serving (100g)"", ""Energy"": ""240kJ"", ""Cabohydrate"": ""4.2g"", ""Protein"": ""9.7g"", ""Total Fat"": ""0.2g"", ""Saturated Fat"": ""0.1g"", ""Sugars"": ""3.3g"", ""Sodium"": ""32mg"", ""Calcium"": ""120mg""}"
26,Oatside Oat Milk - Barista Edition,$5.40,1L,"{""Attributes"": ""Per Serving (200ml)"", ""Energy"": ""134kcal"", ""Trans Fat"": ""0.2g"", ""Protein"": ""7g"", ""Total Fat"": ""7.2g"", ""Saturated Fat"": ""4.8g"", ""Carbohydrate"": ""10g"", ""Sodium"": ""70mg"", ""Calcium"": ""240mg""}"
27,Meiji Pasteurized Fresh Milk - 4.3 Deluxe,$3.60,946ml,"{""Attributes"": ""Per Serving (200ml)"", ""Energy"": ""144kcal"", ""Trans Fat"": ""0.2g"", ""Protein"": ""6.0g"", ""Total Fat"": ""9.0g"", ""Saturated Fat"": ""6.0g"", ""Carbohydrate"": ""9.8g"", ""Sodium"": ""92mg"", ""Calcium"": ""204mg""}"
28,Marigold 100% Fresh Bottle Milk,$6.30,2L,"{""Attributes"": ""Per Serving (200ml)"", ""Energy"": ""130kcal"", ""Trans Fat"": ""0.0g"", ""Protein"": ""1.2g"", ""Total Fat"": ""6.4g"", ""Saturated Fat"": ""0.6g"", ""Carbohydrate"": ""16.2g"", ""Sodium"": ""94mg"", ""Calcium"": ""196mg""}"
29,F&N Magnolia Fresh Milk,$3.60,946ml,"{""Attributes"": ""Per Serving (250ml)"", ""Energy"": ""178kcal"", ""Trans Fat"": ""0.0g"", ""Protein"": ""9.5g"", ""Total Fat"": ""10.0g"", ""Saturated Fat"": ""6.5g"", ""Carbohydrate"": ""12.5g"", ""Sodium"": ""118mg"", ""Calcium"": ""300mg""}"
30,Marigold HL Milk - Plain,$3.53,946ml,"{""Attributes"": ""Per Serving (200ml)"", ""Energy"": ""100kcal"", ""Protein"": ""10g"", ""Total Fat"": ""2g"", ""Saturated Fat"": ""1.4g"", ""Trans Fat"": ""0.06g"", ""Cholesterol"": ""8mg"", ""Carbohydrate"": ""10.6g"", ""Lactose"": ""2.4g"", ""Dietary Fibre"": ""0g"", ""Sodium"": ""152mg"", ""Calcium"": ""400mg"", ""Vitamin A"": ""375mcg"", ""Thiamine (Vitamin B1)"": ""1mg"", ""Pyridoxine (Vitamin B6)"": ""2mg"", ""Vitamin C"": ""30mg"", ""Vitamin D3"": ""2.5mcg"", ""Vitamin E"": ""6mg"", ""Vitamin K1"": ""27mcg"", ""Niacin"": ""11mg"", ""Pantothenic Acid"": ""7mg""}"
31,Uncle Saba's Poppadoms Lentil Chip - Sweet Chilli,$2.00,70g,"{""Attributes"": ""Per Serving ()"", ""Energy"": ""192kcal"", ""Sodium"": ""393.4mg"", ""Carbohydrate"": ""15.7g"", ""Sugars"": ""3.6g"", ""Protein"": ""4.3g"", ""Dietary Fibre"": ""2g"", ""Trans Fat"": ""0g"", ""Total Fat"": ""12.4g""}"
32,Ayam Brand Tuna Light Meal-Chickpeas-Lentils&Quinoa(MildlySpicy),$3.99,150g,"{""Attributes"": ""Per Serving (150g)"", ""Energy"": ""266kcal"", ""Sodium"": ""521.0mg"", ""Carbohydrate"": ""17.7g"", ""Sugars"": ""2.0g"", ""Protein"": ""16.5g"", ""Dietary Fibre"": ""4.5g"", ""Trans Fat"": ""0g"", ""Total Fat"": ""2.0g""}"
33,Uncle Saba's Poppadoms Lentil Chip - Tomato Ketchup,$2.00,70g,"{""Attributes"": ""Per Serving ()"", ""Energy"": ""193kcal"", ""Sodium"": ""454.5mg"", ""Carbohydrate"": ""14.8g"", ""Sugars"": ""0.005g"", ""Cholesterol"": ""0mg"", ""Protein"": ""4.3g"", ""Dietary Fibre"": ""1.8g"", ""Trans Fat"": ""0g"", ""Total Fat"": ""13g""}"
34,Uncle Saba's Poppadoms Lentil Chip - Korean BBQ,$2.00,70g,"{""Attributes"": ""Per Serving ()"", ""Energy"": ""190kcal"", ""Sodium"": ""530mg"", ""Carbohydrate"": ""15g"", ""Sugars"": ""1.5g"", ""Cholesterol"": ""0mg"", ""Protein"": ""4.5g"", ""Dietary Fibre"": ""2g"", ""Trans Fat"": ""0g"", ""Total Fat"": ""12.5g""}"
35,Superfarm Organic Tricolor Quinoa,$8.40,1 KG,"{""Attributes"": ""Per Serving ()"", ""Protein"": ""6.6g"", ""TotalFat"": ""3.3g"", ""Carbohydrate"": ""34.2g"", ""Energy"": ""192kcal""}"
36,Ayam Brand Tuna Light Meal-Chickpeas-Lentils&Quinoa(MildlySpicy),$3.99,150g,{}
37,Nature's Nutrition Organic Quinoa - Tricolour,$13.02,500g,"{""Attributes"": ""Per Serving (50g)"", ""Energy"": ""188.5kcal"", ""Water"": ""5.1g"", ""Proteins"": ""7.5g"", ""Total Fat"": ""2.9g"", ""Trans Fat"": ""0g"", ""Saturated Fat"": ""0g"", ""Carbohydrate"": ""33.6g"", ""Fibre"": ""2.8g"", ""Calcium"": ""60mg"", ""Phosphours"": ""82.5mg"", ""Vitamin B1"": ""0.1mg"", ""Vitamin B2"": ""0.1mg"", ""Vitamin B3"": ""0.7mg""}"
38,"Nestle Fitnesse Granola Oats - Quinoa, Almonds & Chocolate",$7.85,300g,{}
39,NAKED Organic Tricolour Quinoa,$7.90,400 g,{}
40,N.O.I Baked Crispy Seaweed - Pumpkin Seed (Original),$3.33,40g,{}
41,NAKED Organic Pumpkin Seeds,$6.90,200 g,{}
42,Nestle Fitnesse Granola Oats - Cranberry & Pumpkin Seed,$7.85,300g,"{""Attributes"": ""Per Serving (100g)"", ""Energy"": ""444kcal"", ""Total Fat"": ""10g"", ""Protein"": ""9g"", ""Carbohydrate"": ""83g"", ""of which Sugars"": ""20g"", ""Monounsaturated Fat"": ""5.1g"", ""Polyunsaturated Fat"": ""2.9g"", ""Saturated Fat"": ""1.4g"", ""Trans Fat"": ""0g"", ""Cholesterol"": ""1mg"", ""Dietary Fibre"": ""7g"", ""Sodium"": ""121mg"", ""Calcium"": ""338mg""}"
43,GardenScent Pumpkin Seeds,$6.00,250g,{}
44,Laobanniang Raw Pumpkin Seeds,$7.67,500 G,{}
45,FairPrice Roasted Peanuts,$1.25,150g,{}
46,FairPrice Peanuts - Seaweed,$1.41,140g,{}
47,Tong Garden Salted Nuts - Peanuts,$3.78,365g,"{""Attributes"": ""Per Serving (40g)"", ""Calories"": ""220cal"", ""Trans Fat"": ""0g"", ""Calories from Fat"": ""170cal"", ""Total Fat"": ""19g"", ""Saturated Fat"": ""4g"", ""Cholesterol"": ""0mg"", ""Sodium"": ""137mg"", ""Carbohydrate"": ""10g"", ""Dietary Fibre"": ""6g"", ""Sugars"": ""2g"", ""Protein"": ""9g"", ""Vitamin A"": ""0%"", ""Vitamin C"": ""0%"", ""Calcium"": ""2%"", ""Iron"": ""0%""}"
48,Camel Coated Peanuts - Cracker,$1.35,135g,"{""Attributes"": ""Per Serving (50g)"", ""Energy"": ""1157kJ"", ""Trans Fat"": ""0g"", ""Protein"": ""9.9g"", ""Total Fat"": ""20.3g"", ""Saturated Fat"": ""6.8g"", ""Cholesterol"": ""0mg"", ""Carbohydrate"": ""13.3g"", ""Sugars"": ""6.4g"", ""Dietary Fibre"": ""4.3g"", ""Sodium"": ""562.4mg""}"
49,Camel Shandong Groundnuts - Garlic,$1.10,120g,"{""Attributes"": ""Per Serving (65g)"", ""Energy"": ""368kcal"", ""Protein"": ""17.4g"", ""Total Fat"": ""28.2g"", ""Saturated Fat"": ""5g"", ""Trans Fat"": ""0g"", ""Cholesterol"": ""0mg"", ""Carbohydrate"": ""11.1g"", ""Dietary Fibre"": ""6.4g"", ""Sodium"": ""381mg""}"
50,FairPrice Peanut Butter - Creamy,$3.83,500g,"{""Attributes"": ""Per Serving"", ""Energy"": ""200kcal"", ""Protein"": ""7g"", ""Total Fat"": ""16.7g"", ""Saturated Fat"": ""4.8g"", ""Trans Fat"": ""0g"", ""Carbohydrate"": ""5.2g"", ""Sugar"": ""4.4g"", ""Sodium"": ""96mg""}"
51,FairPrice Peanut Butter - Chunky,$3.83,500g,"{""Attributes"": ""Per Serving"", ""Energy"": ""196kcal"", ""Protein"": ""7.3g"", ""Total Fat"": ""15.9g"", ""Saturated Fat"": ""4.2g"", ""Trans Fat"": ""0g"", ""Carbohydrate"": ""5.7g"", ""Sugar"": ""4.2g"", ""Dietary Fibre"": ""2g"", ""Sodium"": ""82mg""}"
,Adams 100% Natural Peanut Butter - Creamy,$7.35,454g,"{""Attributes"": ""Per Serving (32g)"", ""Energy"": ""200kcal"", ""Protein"": ""8.0g"", ""Total Fat"": ""16.0g"", ""Saturated Fat"": ""2.5g"", ""Trans Fat"": ""0g"", ""Carbohydrate"": ""6.0g"", ""Sugar"": ""1.0g"", ""Dietary Fibre"": ""2g"", ""Sodium"": ""105mg""}"
